epoch,epoch_time,sampling_time,i_loss,n_loss,val_i_loss,val_kid,val_n_loss,,,,,,,,
Epoch 9/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2483 - n_loss: 0.1509,,,,,,,,,,,,,,,
Sampling Time: 2.2181761264801025,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_008_20251129-183307.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 46.04s),,,,,,,,,,,,,,,
511/511 ???????????????????? 46s 90ms/step - i_loss: 0.2483 - n_loss: 0.1509 - val_i_loss: 0.2889 - val_kid: 0.1696 - val_n_loss: 0.1584,,,,,,,,,,,,,,,
Epoch 10/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 31ms/step - i_loss: 0.2472 - n_loss: 0.1500,,,,,,,,,,,,,,,
Sampling Time: 2.2152342796325684,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_009_20251129-183353.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 45.31s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 89ms/step - i_loss: 0.2472 - n_loss: 0.1500 - val_i_loss: 0.2594 - val_kid: 0.1140 - val_n_loss: 0.1510,,,,,,,,,,,,,,,
Epoch 11/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2470 - n_loss: 0.1492,,,,,,,,,,,,,,,
Sampling Time: 2.189260959625244,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_010_20251129-183438.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 45.14s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2470 - n_loss: 0.1492 - val_i_loss: 0.2485 - val_kid: 0.0805 - val_n_loss: 0.1477,,,,,,,,,,,,,,,
Epoch 12/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 31ms/step - i_loss: 0.2437 - n_loss: 0.1490,,,,,,,,,,,,,,,
Sampling Time: 2.1928937435150146,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_011_20251129-183523.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 45.23s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 89ms/step - i_loss: 0.2437 - n_loss: 0.1490 - val_i_loss: 0.2402 - val_kid: 0.0664 - val_n_loss: 0.1456,,,,,,,,,,,,,,,
Epoch 13/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2451 - n_loss: 0.1486,,,,,,,,,,,,,,,
Sampling Time: 2.1836395263671875,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_012_20251129-183608.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 45.10s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2451 - n_loss: 0.1486 - val_i_loss: 0.2338 - val_kid: 0.0618 - val_n_loss: 0.1469,,,,,,,,,,,,,,,
Epoch 14/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 31ms/step - i_loss: 0.2437 - n_loss: 0.1482,,,,,,,,,,,,,,,
Sampling Time: 2.1990387439727783,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_013_20251129-183653.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 45.15s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2437 - n_loss: 0.1482 - val_i_loss: 0.2348 - val_kid: 0.0597 - val_n_loss: 0.1446,,,,,,,,,,,,,,,
Epoch 15/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2427 - n_loss: 0.1477,,,,,,,,,,,,,,,
Sampling Time: 2.186124086380005,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_014_20251129-183739.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 45.11s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2427 - n_loss: 0.1477 - val_i_loss: 0.2335 - val_kid: 0.0585 - val_n_loss: 0.1441,,,,,,,,,,,,,,,
Epoch 16/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2435 - n_loss: 0.1478,,,,,,,,,,,,,,,
Sampling Time: 2.200869560241699,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_015_20251129-183824.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 45.10s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2435 - n_loss: 0.1478 - val_i_loss: 0.2328 - val_kid: 0.0574 - val_n_loss: 0.1448,,,,,,,,,,,,,,,
Epoch 17/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2414 - n_loss: 0.1470,,,,,,,,,,,,,,,
Sampling Time: 2.21120023727417,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_016_20251129-183909.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 45.15s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2414 - n_loss: 0.1470 - val_i_loss: 0.2317 - val_kid: 0.0567 - val_n_loss: 0.1442,,,,,,,,,,,,,,,
Epoch 18/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2395 - n_loss: 0.1473,,,,,,,,,,,,,,,
Sampling Time: 2.1800172328948975,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_017_20251129-183954.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 45.09s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2395 - n_loss: 0.1473 - val_i_loss: 0.2317 - val_kid: 0.0553 - val_n_loss: 0.1445,,,,,,,,,,,,,,,
Epoch 19/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 31ms/step - i_loss: 0.2432 - n_loss: 0.1458,,,,,,,,,,,,,,,
Sampling Time: 2.184340238571167,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_018_20251129-184039.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 44.00s),,,,,,,,,,,,,,,
511/511 ???????????????????? 44s 86ms/step - i_loss: 0.2432 - n_loss: 0.1458 - val_i_loss: 0.2315 - val_kid: 0.0560 - val_n_loss: 0.1439,,,,,,,,,,,,,,,
Epoch 20/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 31ms/step - i_loss: 0.2396 - n_loss: 0.1466,,,,,,,,,,,,,,,
